beer_name,main_style
Aecht Schlenkerla Rauchbier Urbock,Dark Lagers
Aecht Schlenkerla Rauchbier Weizen,Dark Lagers
Affligem Blond,Strong Ales
Affligem Dubbel,Dark Ales
Affligem Noël,Strong Ales
Affligem Tripel,Strong Ales
African Amber,Pale Ales
Aftermath Imperial IPA,India Pale Ales
Afternoon Delight,Porters
Agave Wheat,Specialty Beers
Aiko,Pilseners and Pale Lagers
Aiko Pale,Pilseners and Pale Lagers
Akevitt Porter (Barrel-Aged Porter),Porters
Aktien Zwick'l Kellerbier,Pilseners and Pale Lagers
Al's Cask Ale,Pale Ales
Alabaster Belgian White,Wheat Beers
Alamo Golden Ale,Pale Ales
Alaskan Amber,Brown Ales
Alaskan Baltic Porter (Pilot Series),Porters
Alaskan Barley Wine (Pilot Series),Strong Ales
Alaskan Double Black IPA (Pilot Series),Dark Ales
Alaskan ESB,Pale Ales
Alaskan IPA,India Pale Ales
Alaskan Imperial IPA (Pilot Series),India Pale Ales
Alaskan Pale,Pale Ales
Alaskan Perseverance Ale (Pilot Series),Stouts
Alaskan Raspberry Wheat (Pilot Series),Specialty Beers
Alaskan Smoked Porter,Porters
Alaskan Stout,Stouts
Alaskan Summer Ale,Pale Ales
Alaskan White,Wheat Beers
Alaskan Winter Ale,Strong Ales
Alba Scots Pine Ale,Specialty Beers
Alberta Genuine Draft,Pilseners and Pale Lagers
Albion Amber,Pale Ales
Ale 2009,Dark Ales
Ale Diablo,Pale Ales
Ale Mary,Dark Ales
Ale To The Chief,India Pale Ales
AleSmith Decadence 2006 (Dead By Dawn),Strong Ales
AleSmith Decadence 2007 Imperial Porter,Porters
AleSmith Decadence 2007 Imperial Porter Barrel Aged,Porters
AleSmith Decadence 2008 English Style Barleywine,Strong Ales
AleSmith Decadence 2009 Dunkel Weizenbock,Bocks
AleSmith Decadence 2010 English Style Old Ale,Strong Ales
AleSmith Evil Dead Red,Pale Ales
AleSmith Grand Cru Ale,Strong Ales
AleSmith Horny Devil,Strong Ales
AleSmith IPA,India Pale Ales
AleSmith Lil' Devil,Pale Ales
AleSmith My Bloody Valentine,Pale Ales
AleSmith Nautical Nut Brown Ale,Brown Ales
AleSmith Old Numbskull,Strong Ales
AleSmith Old Numbskull - Barrel Aged,Strong Ales
AleSmith Speedway Stout,Stouts
AleSmith Speedway Stout - Barrel Aged,Stouts
AleSmith Speedway Stout - Kopi Luwak,Stouts
AleSmith Wee Heavy,Strong Ales
AleSmith Wee Heavy - Barrel Aged,Strong Ales
AleSmith X,Pale Ales
Alexander Keith's Dark Ale,Brown Ales
Alexander Keith's India Pale Ale,India Pale Ales
Alexander Keith's Nova Scotia Style Brown Ale,Brown Ales
Alexander Keith's Nova Scotia Style Lager,Pilseners and Pale Lagers
Alexander Keith's Nova Scotia Style Pale Ale,Pale Ales
Alexander Keith's Premium White,Wheat Beers
Alexander Keith's Red Amber Ale,Pale Ales
Alexander Rodenbach,Wild/Sour Beers
Alfa,Pilseners and Pale Lagers
Alhambra Especial,Pilseners and Pale Lagers
Alhambra Negra,Dark Lagers
Alice Porter,Porters
Alimony Ale,India Pale Ales
All Others Pale,Pale Ales
All-In Amber,Pale Ales
Allagash 10th Anniversary Ale,Wheat Beers
Allagash 11th Anniversary Ale,Strong Ales
Allagash Big Little Beer,Pale Ales
Allagash Black,Strong Ales
Allagash Black - Bourbon Barrel Aged,Strong Ales
Allagash Blonde Ale,Pale Ales
Allagash Burnham Road,Specialty Beers
Allagash Confluence Ale,Wild/Sour Beers
Allagash Curieux (Bourbon Barrel-Aged Tripel),Strong Ales
Allagash Dubbel Ale,Dark Ales
Allagash FOUR,Strong Ales
Allagash Fedeltá,Pale Ales
Allagash Fluxus 2007,Strong Ales
Allagash Fluxus 2008,Wheat Beers
Allagash Fluxus 2009,Pale Ales
Allagash Fluxus 2010,Stouts
Allagash Fluxus 2011,Hybrid Beers
Allagash Gargamel Ale,Wild/Sour Beers
Allagash Grand Cru,Strong Ales
Allagash Hugh Malone,India Pale Ales
Allagash Interlude,Wild/Sour Beers
Allagash Musette,Strong Ales
Allagash Odyssey,Strong Ales
Allagash Speciale Reserve,Pale Ales
Allagash Summer Ale,Pale Ales
Allagash Tripel Ale,Strong Ales
Allagash Vagabond Ale,Wild/Sour Beers
Allagash Victor Ale,Strong Ales
Allagash Victor Francenstein,Wild/Sour Beers
Allagash Victoria Ale,Strong Ales
Allagash Vrienden,Wild/Sour Beers
Allagash White,Wheat Beers
Allegheny Pale Ale,Pale Ales
Alley Kat Amber,Brown Ales
Alley Kat Smoked Porter,Porters
Alleycat Amber,Pale Ales
Allgäuer Bayrisch Hell,Pilseners and Pale Lagers
Allgäuer Büble Bier,Pilseners and Pale Lagers
Allgäuer Cambonator Doppelbock,Bocks
Allgäuer Fürstabt Hefeweizen,Wheat Beers
Allgäuer Oktoberfest,Dark Lagers
Allgäuer Teutsch Pils,Pilseners and Pale Lagers
Allgäuer Weihnachtsbier,Pale Ales
Allies Win The War!,Strong Ales
Alligator Ale,Brown Ales
Almaza Pilsner Beer,Pilseners and Pale Lagers
Alpha Dog Imperial IPA,India Pale Ales
Alpha King Pale Ale,Pale Ales
Alpha Klaus Christmas (Xmas) Porter,Porters
Alpha Kong,Strong Ales
Alpha Pale Ale,Pale Ales
Alpha Weizen,Wheat Beers
Alphalpha,India Pale Ales
Alpine Ale,Pale Ales
Alpine Glacier Lager,Pilseners and Pale Lagers
Alpine Lager,Pilseners and Pale Lagers
Alpine Wit,Wheat Beers
Alt,Brown Ales
Alt Bier,Brown Ales
Alt Ctrl Delete,Brown Ales
AltBier,Brown Ales
AltBier (JLS Release #15),Brown Ales
Altbier,Brown Ales
Altenmünster Brauer Bier Urig Wurzig,Pilseners and Pale Lagers
Altenmünster Maibock,Bocks
Altenmünster Premium,Pilseners and Pale Lagers
Altenmünster Winterbier Dopplebock,Bocks
Alvinne Extra Restyled,India Pale Ales
Amadeus Biere Blanche,Wheat Beers
Amarillo,India Pale Ales
Amarillo Pale Ale,Pale Ales
Amarillo Single Hop IPA,India Pale Ales
Amarillo Single Hop Pale Ale,Pale Ales
Amazing Grace Ale,Wild/Sour Beers
Ambar Especial,Pilseners and Pale Lagers
Amber,Pale Ales
Amber Ale,Pale Ales
Amber Ale - German Style Altbier,Brown Ales
Amber Lager,Dark Lagers
Amber Road Amber Ale,Pale Ales
Amber Sun Ale,Pale Ales
Amber Waves Ale,Pale Ales
Amber Weizen,Wheat Beers
Ambergeddon,Pale Ales
Ambrosia,Wheat Beers
American,Pilseners and Pale Lagers
American Ale,Pale Ales
American Amber Ale,Pale Ales
American Brown Ale,Brown Ales
American Darling,Pilseners and Pale Lagers
American Dream Ale,India Pale Ales
American Hefe Proper,Wheat Beers
American Pale Ale,Pale Ales
American Wheat,Wheat Beers
American-Belgo Style IPA,India Pale Ales
Amigo Lager,Pilseners and Pale Lagers
Amish Four Grain Pale Ale,Pale Ales
Amnesia IPA,India Pale Ales
Amnesiac Double IPA,India Pale Ales
Amon Amarth - Ragnarok,Porters
Amstel Bright,Pilseners and Pale Lagers
Amstel Lager,Pilseners and Pale Lagers
Amstel Light,Pilseners and Pale Lagers
Amsterdam Big Wheel Deluxe Amber,Dark Lagers
Amsterdam Framboise,Specialty Beers
Amsterdam Mariner,Pilseners and Pale Lagers
Amsterdam Natural Blonde Lager,Pilseners and Pale Lagers
Amsterdam Nut Brown Ale,Brown Ales
Amsterdam Oranje Wit,Wheat Beers
Amsterdam Strong Spring Bock,Bocks
Anarchist Amber Ale,Pale Ales
Anchor,Wheat Beers
Anchor Bock Beer,Bocks
Anchor Humming Ale,Pale Ales
Anchor Liberty Ale,Pale Ales
Anchor Old Foghorn,Strong Ales
Anchor Porter,Porters
Anchor Small Beer,Pale Ales
Anchor Steam Beer,Hybrid Beers
Anchor Summer Beer,Wheat Beers
Ancient Aztalan Brown Ale,Brown Ales
Andechser  Dunkles Weissbier,Wheat Beers
Andechser Bergbock Hell,Bocks
Andechser Doppelbock Dunkel,Bocks
Andechser Dunkel,Dark Lagers
Andechser Hell,Pilseners and Pale Lagers
Andechser Spezial Hell,Pilseners and Pale Lagers
Andechser Weissbier Hefetrüb,Wheat Beers
Andelot Cuvee Angelique,Dark Ales
Andelot Cuvee Diabolique,Strong Ales
Andelot Cuvee Euphorique,Pale Ales
Andelot Cuvee Mystique,Strong Ales
Andhrímnir Barley Wine,Strong Ales
Andrew's Old English Ale,Pale Ales
Andrew's St. Nick Porter,Porters
Andygator,Bocks
Angel Ale,Pale Ales
Angel City Abbey,Dark Ales
Angel City Ale,Pale Ales
Angel City Dunkel,Dark Lagers
Angel Creek Amber Ale,Pale Ales
Angkor Beer,Pilseners and Pale Lagers
Angler Black Lager,Dark Lagers
Angler's Pale Ale,Pale Ales
Angry Angel Kolsch,Pale Ales
Angry Planet Organic Pale Ale,Pale Ales
Anheuser World Lager,Pilseners and Pale Lagers
Anker Blond,Pale Ales
Anna,Pale Ales
Anniversary Ale,India Pale Ales
Anniversary Ale XV,Stouts
Anniversary Barley Wine,Strong Ales
Anniversary Mai Bock,Bocks
Antarctica Pilsen,Pilseners and Pale Lagers
Anti-Hero,India Pale Ales
Anti-Matter Pale Ale,Pale Ales
Antigoon By Robert Wiedmaier,Pale Ales
Antique Amber Lager,Dark Lagers
Antler Brown Ale,Brown Ales
Anvil Ale,Pale Ales
Anvil Ale ESB,Pale Ales
Anvil Head,Pale Ales
Aorta Ale (Double Red Ale),Pale Ales
Ape Hanger Ale,Pale Ales
Apex,India Pale Ales
Aphrodisiaque,Stouts
Apocalypse Cow,India Pale Ales
Apollo,Wheat Beers
Apostel Bräu,Pilseners and Pale Lagers
Appalachian Ale,Pale Ales
Appalachian Amber Ale,Pale Ales
Appalachian Pale Ale,Pale Ales
Appenzeller Holzfass Bier,Pilseners and Pale Lagers
Apple Ale,Specialty Beers
ApriHop,India Pale Ales
Apricot Ale,Specialty Beers
Apricot Au Poivre Saison,Pale Ales
Apricot Wheat,Specialty Beers
Apricot Wheat Ale,Specialty Beers
Aprikat,Specialty Beers
Arbor Brasserie Blonde Belgian,Specialty Beers
Arbor Brewing Bavarian Bliss,Wheat Beers
Arbor Brewing Brasserie Blonde Sparkling Ale,Wheat Beers
Arbor Brewing Espresso Love,Stouts
Arbor Brewing Mackinac Island Fudge Stout,Stouts
Arbor Brewing Olde Number 22 Alt Bier,Brown Ales
Arbor Brewing Phat Abbot Belgian Dubbel,Dark Ales
Arbor Brewing Phat Abbot Belgian Triple,Strong Ales
Arbor Brewing Red Snapper Special Bitter,Pale Ales
Arbor Brewing Sacred Cow IPA,India Pale Ales
Arbor Brewing Tree Fort Beer,Pale Ales
Arcadia Amber Ale,Pale Ales
Arcadia Angler's Ale,Pale Ales
Arcadia Batch #999,India Pale Ales
Arcadia Big Dick's Olde Ale,Strong Ales
Arcadia Cereal Killer Barley Wine,Strong Ales
Arcadia Cocoa Loco,Stouts
Arcadia Hop Rocket,India Pale Ales
Arcadia HopMouth Double IPA,India Pale Ales
Arcadia IPA,India Pale Ales
Arcadia Imperial Stout,Stouts
Arcadia Jaw-Jacker,Specialty Beers
Arcadia Lake Superior ESB,Pale Ales
Arcadia Loch Down Scotch Ale,Strong Ales
Arcadia London Porter,Porters
Arcadia Nut Brown Ale,Brown Ales
Arcadia Shipwreck Porter,Porters
Arcadia Sky High Rye,Specialty Beers
Arcadia Special Reserve,Pale Ales
Arcadia Starboard Stout,Stouts
Arcadia Whitsun Ale,Wheat Beers
Arch Ale,Pale Ales
Archangel Summer Wheat,Wheat Beers
Archer's Ale,Pale Ales
Arcobräu Dark Lager Beer,Dark Lagers
Arcobräu Zwickl Lager,Pilseners and Pale Lagers
Arctic Circle Ale,Specialty Beers
Arctic Devil Barley Wine,Strong Ales
Arctic Panzer Wolf,India Pale Ales
Arctic Rhino Coffee Porter,Porters
Arctica Pale Ale (Endurance Pale Ale / Tom Crean's Ale),Pale Ales
Ard Ri,Strong Ales
Arena Premium Pale Ale,Pale Ales
Aris Greek Lager,Pilseners and Pale Lagers
Arizona Peach,Specialty Beers
Arkell Best Bitter,Pale Ales
Armand'4 Oude Geuze Lente (Spring),Wild/Sour Beers
Armand'4 Oude Geuze Zomer (Summer),Wild/Sour Beers
Armory XPA,Pale Ales
Aroma Coma,India Pale Ales
Arran Blonde,Pale Ales
Arran Dark,Dark Ales
Arrogant Bastard Ale,Strong Ales
Arrowhead Pale Ale,Pale Ales
Arsenalnoye Krepkoye (Strong),Pilseners and Pale Lagers
Art,Pale Ales
Artevelde Grand Cru,Strong Ales
Arthur,Pale Ales
Aruba Red,Dark Lagers
Asahi Black (Kuronama),Stouts
Asahi Draft (Jukusen),Specialty Beers
Asahi Honnama Red,Specialty Beers
Asahi Select,Pilseners and Pale Lagers
Asahi Super Dry,Specialty Beers
Ascension,India Pale Ales
Ashland Amber,Pale Ales
Askew,Wild/Sour Beers
Aspen Edge,Pilseners and Pale Lagers
Ass Kisser Double IPA,India Pale Ales
Ass Kisser Smoked Porter,Porters
Astra Urtyp,Pilseners and Pale Lagers
Asylum,Strong Ales
Athenian,Pilseners and Pale Lagers
Atlantic Amber,Pale Ales
Atlantic Au Pineau,Pale Ales
Atlantic IPA,India Pale Ales
Atlas India Pale Ale,India Pale Ales
Atom Smasher,Strong Ales
Atomium Grand Cru,Strong Ales
Atwater Bloktoberfest,Dark Lagers
Atwater Cherry Stout,Stouts
Atwater Double Down Imperial Amber Ale,Pale Ales
Atwater Dunkel,Dark Lagers
Atwater Hell Pale Lager,Pilseners and Pale Lagers
Atwater Maibock,Bocks
Atwater Pilsner,Pilseners and Pale Lagers
Atwater Rost,Pale Ales
Atwater Salvation IPA,India Pale Ales
Atwater Shaman's Porter,Porters
Atwater Vanilla Java Porter,Porters
Atwater Voodoovator,Bocks
Atwater Winter Bock,Bocks
Au Courant,Strong Ales
Au Naturale Organic Blonde Ale,Pale Ales
Auburn Ale,Pale Ales
Auburn Lager,Dark Lagers
Aud Blonde,Pale Ales
Audacious Apricot Ale,Specialty Beers
Augsburger Golden Lager,Pilseners and Pale Lagers
Augusta Saison,Pale Ales
Augustijn Ale,Strong Ales
Augustijn Blond,Pale Ales
Augustijn Grand Cru,Strong Ales
Augustiner Bräu Dunkel,Dark Lagers
Augustiner Bräu Edelstoff,Pilseners and Pale Lagers
Augustiner Bräu Lagerbier Hell,Pilseners and Pale Lagers
Augustiner Bräu Maximator,Bocks
Augustiner Bräu Munchen Light Export Beer,Pilseners and Pale Lagers
Augustiner Bräu Oktoberfestbier,Dark Lagers
Augustiner Bräu Weissbier,Wheat Beers
Augustiner Lager,Dark Lagers
Augustinian Ale,Pale Ales
Auld Asheville Vintage Ale,Strong Ales
Aurora Amber Ale,Pale Ales
Austin Amber Ale,Pale Ales
Australian Ale,Pale Ales
Australian Mountain Pepper Berry,Specialty Beers
Autumn 2011 Farmhouse Ale,Pale Ales
Autumn Ale,Brown Ales
Autumn Brew,Dark Ales
Autumn Fest,Dark Lagers
Autumn Maple,Specialty Beers
Autumn Maple Barrel Aged,Specialty Beers
Autumn Wheat Ale,Wheat Beers
Autumnal,Pale Ales
Autumnal Fire,Bocks
Autumnation,Specialty Beers
Avalanche,Pale Ales
Avalanche Ale,Pale Ales
Avalon Spiced Ale,Specialty Beers
Avant Garde,Hybrid Beers
Avant Peche Imperial Porter,Porters
Avatar Jasmine IPA,India Pale Ales
Avec Les Bons Voeux,Pale Ales
Avery Anniversary Ale - Eighteen (Dry Hopped Rye Saison),Pale Ales
Avery Anniversary Ale - Eleven,India Pale Ales
Avery Anniversary Ale - Fifteen,Wild/Sour Beers
Avery Anniversary Ale - Fourteen,Strong Ales
Avery Anniversary Ale - Seventeen (Dry Hopped Black Lager),Dark Lagers
Avery Anniversary Ale - Sixteen,Pale Ales
Avery Anniversary Ale - Ten,India Pale Ales
Avery Anniversary Ale - Thirteen,Bocks
Avery Anniversary Ale - Twelve (Saison Ale),Pale Ales
Aviator Red,Pale Ales
Avril,Pale Ales
Axe Head Malt Liquor,Pilseners and Pale Lagers
Ayinger Altbairisch Dunkel,Dark Lagers
Ayinger Bräu Weisse,Wheat Beers
Ayinger Celebrator Doppelbock,Bocks
Ayinger Jahrhundert Bier,Pilseners and Pale Lagers
Ayinger Kirta-Halbe,Dark Lagers
Ayinger Oktober Fest-Märzen,Dark Lagers
Ayinger Ur-Weisse,Wheat Beers
Ayinger Weizenbock,Bocks
