,main_style,beer_style,main_style_full_count,sub_style_full_count
4771,Specialty Beers,Japanese Rice Lager,684,9
4772,Strong Ales,American Barleywine,947,122
4773,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4774,Pilseners and Pale Lagers,Czech Pilsener,1228,114
4775,Dark Lagers,Munich Dunkel Lager,476,81
4776,Pilseners and Pale Lagers,Czech Pilsener,1228,114
4777,Pilseners and Pale Lagers,Czech Pilsener,1228,114
4778,Bocks,Bock,339,84
4779,Porters,Baltic Porter,448,70
4780,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4781,Hybrid Beers,Bière de Champagne / Bière Brut,133,8
4782,Pilseners and Pale Lagers,American Double / Imperial Pilsner,1228,41
4783,Pale Ales,Kölsch,2120,89
4784,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
4785,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4786,Specialty Beers,Fruit / Vegetable Beer,684,242
4787,Specialty Beers,Lambic - Fruit,684,95
4788,Specialty Beers,Lambic - Fruit,684,95
4789,Specialty Beers,Lambic - Fruit,684,95
4790,Specialty Beers,Lambic - Fruit,684,95
4791,Wheat Beers,Kristalweizen,685,18
4792,Dark Lagers,Schwarzbier,476,60
4793,Pilseners and Pale Lagers,German Pilsener,1228,200
4794,Wheat Beers,Hefeweizen,685,206
4795,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4796,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4797,Wheat Beers,Witbier,685,207
4798,Pale Ales,American Pale Ale (APA),2120,543
4799,Dark Lagers,Schwarzbier,476,60
4800,Pilseners and Pale Lagers,Czech Pilsener,1228,114
4801,India Pale Ales,American Double / Imperial IPA,914,297
4802,Pilseners and Pale Lagers,Keller Bier / Zwickel Bier,1228,27
4803,India Pale Ales,Belgian IPA,914,61
4804,Specialty Beers,Pumpkin Ale,684,78
4805,Strong Ales,American Barleywine,947,122
4806,India Pale Ales,American IPA,914,475
4807,Stouts,American Double / Imperial Stout,786,207
4808,Strong Ales,English Barleywine,947,62
4809,Strong Ales,Old Ale,947,59
4810,Hybrid Beers,Braggot,133,14
4811,Wild/Sour Beers,Flanders Oud Bruin,202,24
4812,Stouts,American Stout,786,120
4813,India Pale Ales,American Double / Imperial IPA,914,297
4814,Bocks,Doppelbock,339,126
4815,Specialty Beers,Fruit / Vegetable Beer,684,242
4816,Strong Ales,American Barleywine,947,122
4817,Strong Ales,Old Ale,947,59
4818,Wheat Beers,Hefeweizen,685,206
4819,Stouts,American Double / Imperial Stout,786,207
4820,Pale Ales,American Pale Ale (APA),2120,543
4821,Dark Ales,American Black Ale,390,70
4822,Strong Ales,Belgian Strong Dark Ale,947,144
4823,Strong Ales,Belgian Strong Dark Ale,947,144
4824,Porters,American Porter,448,305
4825,Bocks,Eisbock,339,14
4826,Stouts,Russian Imperial Stout,786,192
4827,Pale Ales,Saison / Farmhouse Ale,2120,249
4828,India Pale Ales,Belgian IPA,914,61
4829,Stouts,Russian Imperial Stout,786,192
4830,Wheat Beers,Witbier,685,207
4831,Specialty Beers,Fruit / Vegetable Beer,684,242
4832,Bocks,Weizenbock,339,53
4833,Bocks,Eisbock,339,14
4834,Pilseners and Pale Lagers,German Pilsener,1228,200
4835,Bocks,Eisbock,339,14
4836,Porters,Baltic Porter,448,70
4837,Specialty Beers,Kvass,684,7
4838,Specialty Beers,Kvass,684,7
4839,Pale Ales,Kölsch,2120,89
4840,Pale Ales,Kölsch,2120,89
4841,Pale Ales,Kölsch,2120,89
4842,Dark Lagers,Munich Dunkel Lager,476,81
4843,Wheat Beers,Hefeweizen,685,206
4844,Pilseners and Pale Lagers,German Pilsener,1228,200
4845,Dark Lagers,Märzen / Oktoberfest,476,149
4846,Dark Lagers,Schwarzbier,476,60
4847,Specialty Beers,Herbed / Spiced Beer,684,95
4848,Pale Ales,Saison / Farmhouse Ale,2120,249
4849,Pale Ales,Saison / Farmhouse Ale,2120,249
4850,Dark Ales,Scottish Ale,390,62
4851,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4852,Specialty Beers,Herbed / Spiced Beer,684,95
4853,Pale Ales,American Pale Ale (APA),2120,543
4854,Specialty Beers,Smoked Beer,684,34
4855,Specialty Beers,Fruit / Vegetable Beer,684,242
4856,Strong Ales,American Strong Ale,947,115
4857,Bocks,Bock,339,84
4858,Bocks,Maibock / Helles Bock,339,62
4859,Pilseners and Pale Lagers,German Pilsener,1228,200
4860,Pilseners and Pale Lagers,American Pale Lager,1228,108
4861,Dark Lagers,American Amber / Red Lager,476,62
4862,Hybrid Beers,Bière de Garde,133,54
4863,Pale Ales,Belgian Pale Ale,2120,167
4864,Pale Ales,Belgian Pale Ale,2120,167
4865,Strong Ales,Belgian Strong Dark Ale,947,144
4866,Strong Ales,Belgian Strong Pale Ale,947,147
4867,Wheat Beers,Witbier,685,207
4868,Pale Ales,Saison / Farmhouse Ale,2120,249
4869,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4870,Strong Ales,Tripel,947,123
4871,Strong Ales,Belgian Strong Pale Ale,947,147
4872,Hybrid Beers,Bière de Garde,133,54
4873,Hybrid Beers,Bière de Garde,133,54
4874,Hybrid Beers,Bière de Garde,133,54
4875,Specialty Beers,Fruit / Vegetable Beer,684,242
4876,Stouts,Oatmeal Stout,786,98
4877,Hybrid Beers,Bière de Garde,133,54
4878,Strong Ales,Tripel,947,123
4879,Specialty Beers,Herbed / Spiced Beer,684,95
4880,India Pale Ales,Belgian IPA,914,61
4881,Strong Ales,Tripel,947,123
4882,Wild/Sour Beers,Flanders Red Ale,202,29
4883,Strong Ales,Tripel,947,123
4884,Pale Ales,Belgian Pale Ale,2120,167
4885,Pale Ales,Belgian Pale Ale,2120,167
4886,Wheat Beers,Witbier,685,207
4887,Pale Ales,Saison / Farmhouse Ale,2120,249
4888,Stouts,Milk / Sweet Stout,786,52
4889,Stouts,Milk / Sweet Stout,786,52
4890,Strong Ales,Belgian Strong Pale Ale,947,147
4891,India Pale Ales,American Double / Imperial IPA,914,297
4892,Pale Ales,American Pale Ale (APA),2120,543
4893,Specialty Beers,Herbed / Spiced Beer,684,95
4894,Pale Ales,English Pale Ale,2120,185
4895,Pale Ales,Saison / Farmhouse Ale,2120,249
4896,Strong Ales,Belgian Strong Pale Ale,947,147
4897,Strong Ales,Belgian Strong Dark Ale,947,144
4898,Stouts,American Double / Imperial Stout,786,207
4899,Specialty Beers,Pumpkin Ale,684,78
4900,Pilseners and Pale Lagers,American Pale Lager,1228,108
4901,Dark Lagers,Vienna Lager,476,50
4902,Wild/Sour Beers,American Wild Ale,202,104
4903,Wild/Sour Beers,American Wild Ale,202,104
4904,Dark Ales,Belgian Dark Ale,390,43
4905,Pale Ales,Belgian Pale Ale,2120,167
4906,Strong Ales,Tripel,947,123
4907,Pale Ales,English Bitter,2120,104
4908,Strong Ales,Belgian Strong Pale Ale,947,147
4909,Bocks,Doppelbock,339,126
4910,Strong Ales,Belgian Strong Dark Ale,947,144
4911,Pale Ales,Belgian Pale Ale,2120,167
4912,Bocks,Bock,339,84
4913,Dark Ales,Dubbel,390,88
4914,Pale Ales,Belgian Pale Ale,2120,167
4915,Strong Ales,Quadrupel (Quad),947,51
4916,Strong Ales,Quadrupel (Quad),947,51
4917,Strong Ales,Tripel,947,123
4918,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4919,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
4920,Stouts,American Double / Imperial Stout,786,207
4921,India Pale Ales,American Double / Imperial IPA,914,297
4922,Pilseners and Pale Lagers,American Pale Lager,1228,108
4923,Pilseners and Pale Lagers,Light Lager,1228,108
4924,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4925,Pilseners and Pale Lagers,Light Lager,1228,108
4926,Pilseners and Pale Lagers,Light Lager,1228,108
4927,Pale Ales,American Pale Ale (APA),2120,543
4928,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4929,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4930,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4931,Pilseners and Pale Lagers,American Malt Liquor,1228,44
4932,Specialty Beers,Low Alcohol Beer,684,20
4933,Porters,American Porter,448,305
4934,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
4935,Stouts,American Double / Imperial Stout,786,207
4936,India Pale Ales,English India Pale Ale (IPA),914,81
4937,Stouts,Milk / Sweet Stout,786,52
4938,Wild/Sour Beers,American Wild Ale,202,104
4939,Specialty Beers,Lambic - Fruit,684,95
4940,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4941,Pale Ales,Saison / Farmhouse Ale,2120,249
4942,India Pale Ales,American IPA,914,475
4943,Strong Ales,American Strong Ale,947,115
4944,Stouts,Russian Imperial Stout,786,192
4945,Pale Ales,American Amber / Red Ale,2120,395
4946,Brown Ales,English Brown Ale,416,146
4947,Pilseners and Pale Lagers,Czech Pilsener,1228,114
4948,Hybrid Beers,Cream Ale,133,42
4949,India Pale Ales,American Double / Imperial IPA,914,297
4950,India Pale Ales,American Double / Imperial IPA,914,297
4951,Pale Ales,American Pale Ale (APA),2120,543
4952,Porters,American Porter,448,305
4953,Strong Ales,Scotch Ale / Wee Heavy,947,74
4954,Wheat Beers,Hefeweizen,685,206
4955,India Pale Ales,American IPA,914,475
4956,Stouts,American Stout,786,120
4957,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4958,Pilseners and Pale Lagers,American Pale Lager,1228,108
4959,Pilseners and Pale Lagers,German Pilsener,1228,200
4960,Brown Ales,English Dark Mild Ale,416,33
4961,Pale Ales,American Pale Ale (APA),2120,543
4962,Wild/Sour Beers,Gueuze,202,33
4963,Wild/Sour Beers,Lambic - Unblended,202,6
4964,Specialty Beers,Sahti,684,8
4965,Specialty Beers,Sahti,684,8
4966,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
4967,Pale Ales,Kölsch,2120,89
4968,Dark Lagers,Munich Dunkel Lager,476,81
4969,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4970,Pale Ales,English Pale Ale,2120,185
4971,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
4972,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4973,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
4974,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
4975,Wheat Beers,Witbier,685,207
4976,Pale Ales,English Pale Ale,2120,185
4977,Pale Ales,American Amber / Red Ale,2120,395
4978,India Pale Ales,American IPA,914,475
4979,India Pale Ales,American IPA,914,475
4980,India Pale Ales,American IPA,914,475
4981,India Pale Ales,American IPA,914,475
4982,India Pale Ales,American IPA,914,475
4983,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
4984,Hybrid Beers,Cream Ale,133,42
4985,Specialty Beers,Fruit / Vegetable Beer,684,242
4986,India Pale Ales,American IPA,914,475
4987,Pale Ales,American Pale Ale (APA),2120,543
4988,India Pale Ales,American IPA,914,475
4989,Wheat Beers,Kristalweizen,685,18
4990,Dark Ales,Scottish Ale,390,62
4991,Pale Ales,American Amber / Red Ale,2120,395
4992,Stouts,Russian Imperial Stout,786,192
4993,Porters,American Porter,448,305
4994,Pale Ales,American Amber / Red Ale,2120,395
4995,Pilseners and Pale Lagers,German Pilsener,1228,200
4996,Pale Ales,American Pale Ale (APA),2120,543
4997,Dark Lagers,Euro Dark Lager,476,50
4998,India Pale Ales,American IPA,914,475
4999,Porters,American Porter,448,305
5000,Pale Ales,Saison / Farmhouse Ale,2120,249
5001,Wheat Beers,Witbier,685,207
5002,Stouts,Russian Imperial Stout,786,192
5003,Pale Ales,Saison / Farmhouse Ale,2120,249
5004,Wild/Sour Beers,American Wild Ale,202,104
5005,Dark Ales,Winter Warmer,390,120
5006,Pilseners and Pale Lagers,American Pale Lager,1228,108
5007,India Pale Ales,American Double / Imperial IPA,914,297
5008,India Pale Ales,American Double / Imperial IPA,914,297
5009,Pale Ales,American Blonde Ale,2120,174
5010,India Pale Ales,American IPA,914,475
5011,Wheat Beers,Dunkelweizen,685,50
5012,Wheat Beers,Dunkelweizen,685,50
5013,Brown Ales,Altbier,416,79
5014,Wheat Beers,Hefeweizen,685,206
5015,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5016,Pale Ales,Saison / Farmhouse Ale,2120,249
5017,Strong Ales,Belgian Strong Pale Ale,947,147
5018,Pale Ales,Belgian Pale Ale,2120,167
5019,Dark Ales,Belgian Dark Ale,390,43
5020,Strong Ales,Belgian Strong Dark Ale,947,144
5021,Strong Ales,Tripel,947,123
5022,Strong Ales,Belgian Strong Dark Ale,947,144
5023,Stouts,American Stout,786,120
5024,India Pale Ales,American Double / Imperial IPA,914,297
5025,Stouts,Russian Imperial Stout,786,192
5026,Stouts,Milk / Sweet Stout,786,52
5027,Dark Lagers,Märzen / Oktoberfest,476,149
5028,Bocks,Doppelbock,339,126
5029,Pale Ales,English Pale Ale,2120,185
5030,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5031,Pilseners and Pale Lagers,American Pale Lager,1228,108
5032,Pilseners and Pale Lagers,German Pilsener,1228,200
5033,Wheat Beers,Hefeweizen,685,206
5034,Specialty Beers,Fruit / Vegetable Beer,684,242
5035,Specialty Beers,Fruit / Vegetable Beer,684,242
5036,Bocks,Doppelbock,339,126
5037,Dark Lagers,American Amber / Red Lager,476,62
5038,Dark Lagers,Euro Dark Lager,476,50
5039,Dark Lagers,Euro Dark Lager,476,50
5040,Wheat Beers,Kristalweizen,685,18
5041,Pilseners and Pale Lagers,American Pale Lager,1228,108
5042,Dark Lagers,Märzen / Oktoberfest,476,149
5043,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5044,Dark Lagers,Vienna Lager,476,50
5045,Specialty Beers,Fruit / Vegetable Beer,684,242
5046,Wheat Beers,Witbier,685,207
5047,Pilseners and Pale Lagers,Light Lager,1228,108
5048,Wild/Sour Beers,Gose,202,3
5049,Wheat Beers,American Pale Wheat Ale,685,162
5050,Pilseners and Pale Lagers,American Pale Lager,1228,108
5051,Pale Ales,American Amber / Red Ale,2120,395
5052,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5053,Hybrid Beers,Bière de Garde,133,54
5054,Porters,Baltic Porter,448,70
5055,Strong Ales,Belgian Strong Dark Ale,947,144
5056,Dark Lagers,Euro Dark Lager,476,50
5057,Pilseners and Pale Lagers,Czech Pilsener,1228,114
5058,Strong Ales,Belgian Strong Pale Ale,947,147
5059,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5060,Dark Lagers,Munich Dunkel Lager,476,81
5061,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5062,Dark Ales,Scottish Ale,390,62
5063,Wheat Beers,Hefeweizen,685,206
5064,Pilseners and Pale Lagers,German Pilsener,1228,200
5065,Specialty Beers,Fruit / Vegetable Beer,684,242
5066,Strong Ales,American Strong Ale,947,115
5067,Brown Ales,American Brown Ale,416,158
5068,Pale Ales,American Blonde Ale,2120,174
5069,Pilseners and Pale Lagers,Light Lager,1228,108
5070,Pale Ales,Kölsch,2120,89
5071,Pale Ales,American Blonde Ale,2120,174
5072,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5073,Pale Ales,Saison / Farmhouse Ale,2120,249
5074,India Pale Ales,English India Pale Ale (IPA),914,81
5075,Wheat Beers,Hefeweizen,685,206
5076,India Pale Ales,American IPA,914,475
5077,Pale Ales,American Pale Ale (APA),2120,543
5078,Stouts,American Stout,786,120
5079,Dark Ales,American Black Ale,390,70
5080,Brown Ales,American Brown Ale,416,158
5081,Wheat Beers,Witbier,685,207
5082,Wheat Beers,Witbier,685,207
5083,Stouts,Foreign / Export Stout,786,41
5084,Pale Ales,English Pale Ale,2120,185
5085,Pilseners and Pale Lagers,American Pale Lager,1228,108
5086,Specialty Beers,Lambic - Fruit,684,95
5087,Specialty Beers,Lambic - Fruit,684,95
5088,Wild/Sour Beers,Faro,202,3
5089,Specialty Beers,Lambic - Fruit,684,95
5090,Wild/Sour Beers,Gueuze,202,33
5091,Wild/Sour Beers,Gueuze,202,33
5092,Specialty Beers,Lambic - Fruit,684,95
5093,Specialty Beers,Lambic - Fruit,684,95
5094,Specialty Beers,Lambic - Fruit,684,95
5095,Stouts,American Double / Imperial Stout,786,207
5096,Specialty Beers,Rye Beer,684,64
5097,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
5098,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5099,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5100,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5101,Stouts,Foreign / Export Stout,786,41
5102,Dark Ales,Winter Warmer,390,120
5103,Pilseners and Pale Lagers,Light Lager,1228,108
5104,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5105,India Pale Ales,Belgian IPA,914,61
5106,Strong Ales,Belgian Strong Pale Ale,947,147
5107,Hybrid Beers,Bière de Garde,133,54
5108,Wild/Sour Beers,American Wild Ale,202,104
5109,Pale Ales,American Blonde Ale,2120,174
5110,Pale Ales,Saison / Farmhouse Ale,2120,249
5111,Wild/Sour Beers,American Wild Ale,202,104
5112,Wheat Beers,Dunkelweizen,685,50
5113,Wheat Beers,Dunkelweizen,685,50
5114,Wild/Sour Beers,American Wild Ale,202,104
5115,Wild/Sour Beers,American Wild Ale,202,104
5116,India Pale Ales,American IPA,914,475
5117,Strong Ales,Belgian Strong Dark Ale,947,144
5118,Wheat Beers,Berliner Weissbier,685,19
5119,Specialty Beers,Fruit / Vegetable Beer,684,242
5120,Pale Ales,Belgian Pale Ale,2120,167
5121,Wild/Sour Beers,American Wild Ale,202,104
5122,Specialty Beers,Fruit / Vegetable Beer,684,242
5123,Pale Ales,Saison / Farmhouse Ale,2120,249
5124,Specialty Beers,Sahti,684,8
5125,Strong Ales,Belgian Strong Pale Ale,947,147
5126,Specialty Beers,Lambic - Fruit,684,95
5127,Wild/Sour Beers,American Wild Ale,202,104
5128,Pale Ales,Belgian Pale Ale,2120,167
5129,Pale Ales,American Blonde Ale,2120,174
5130,Pilseners and Pale Lagers,American Malt Liquor,1228,44
5131,Pale Ales,Belgian Pale Ale,2120,167
5132,Brown Ales,English Dark Mild Ale,416,33
5133,Pilseners and Pale Lagers,Light Lager,1228,108
5134,Pale Ales,English Bitter,2120,104
5135,Pale Ales,English Pale Ale,2120,185
5136,Brown Ales,American Brown Ale,416,158
5137,Pilseners and Pale Lagers,Czech Pilsener,1228,114
5138,Pale Ales,American Pale Ale (APA),2120,543
5139,Pilseners and Pale Lagers,Czech Pilsener,1228,114
5140,Pale Ales,English Bitter,2120,104
5141,Hybrid Beers,Cream Ale,133,42
5142,India Pale Ales,American IPA,914,475
5143,Pale Ales,English Pale Ale,2120,185
5144,Wheat Beers,Witbier,685,207
5145,Dark Lagers,Vienna Lager,476,50
5146,Wheat Beers,Hefeweizen,685,206
5147,India Pale Ales,American IPA,914,475
5148,Dark Lagers,Märzen / Oktoberfest,476,149
5149,Pilseners and Pale Lagers,Czech Pilsener,1228,114
5150,Bocks,Weizenbock,339,53
5151,Pale Ales,English Bitter,2120,104
5152,Pale Ales,American Amber / Red Ale,2120,395
5153,Pale Ales,American Amber / Red Ale,2120,395
5154,Dark Lagers,Munich Dunkel Lager,476,81
5155,Pilseners and Pale Lagers,Czech Pilsener,1228,114
5156,Bocks,Maibock / Helles Bock,339,62
5157,Bocks,Doppelbock,339,126
5158,Pale Ales,American Amber / Red Ale,2120,395
5159,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
5160,Pilseners and Pale Lagers,American Double / Imperial Pilsner,1228,41
5161,Pale Ales,American Pale Ale (APA),2120,543
5162,Pale Ales,American Amber / Red Ale,2120,395
5163,Pilseners and Pale Lagers,American Pale Lager,1228,108
5164,Pale Ales,Belgian Pale Ale,2120,167
5165,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
5166,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
5167,Pilseners and Pale Lagers,Euro Strong Lager,1228,46
5168,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5169,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5170,Pale Ales,English Pale Ale,2120,185
5171,Porters,English Porter,448,60
5172,Stouts,English Stout,786,29
5173,Brown Ales,English Dark Mild Ale,416,33
5174,Pale Ales,American Amber / Red Ale,2120,395
5175,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5176,Pilseners and Pale Lagers,Light Lager,1228,108
5177,Pale Ales,American Blonde Ale,2120,174
5178,India Pale Ales,American IPA,914,475
5179,Pale Ales,English Bitter,2120,104
5180,Strong Ales,Tripel,947,123
5181,Brown Ales,Altbier,416,79
5182,Wheat Beers,American Pale Wheat Ale,685,162
5183,Wheat Beers,Witbier,685,207
5184,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
5185,India Pale Ales,American Double / Imperial IPA,914,297
5186,Specialty Beers,Fruit / Vegetable Beer,684,242
5187,Pale Ales,Saison / Farmhouse Ale,2120,249
5188,Strong Ales,American Barleywine,947,122
5189,Strong Ales,Old Ale,947,59
5190,Strong Ales,Old Ale,947,59
5191,Bocks,Bock,339,84
5192,Bocks,Weizenbock,339,53
5193,Pilseners and Pale Lagers,American Pale Lager,1228,108
5194,Porters,English Porter,448,60
5195,Porters,English Porter,448,60
5196,Pale Ales,English Pale Ale,2120,185
5197,Dark Ales,American Black Ale,390,70
5198,India Pale Ales,Belgian IPA,914,61
5199,Specialty Beers,Herbed / Spiced Beer,684,95
5200,Pale Ales,American Blonde Ale,2120,174
5201,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
5202,Pale Ales,American Pale Ale (APA),2120,543
5203,Pale Ales,American Pale Ale (APA),2120,543
5204,Dark Ales,Dubbel,390,88
5205,Porters,American Porter,448,305
5206,Pale Ales,American Pale Ale (APA),2120,543
5207,India Pale Ales,American Double / Imperial IPA,914,297
5208,Pale Ales,American Amber / Red Ale,2120,395
5209,India Pale Ales,American IPA,914,475
5210,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5211,India Pale Ales,English India Pale Ale (IPA),914,81
5212,India Pale Ales,American IPA,914,475
5213,Strong Ales,Belgian Strong Pale Ale,947,147
5214,Strong Ales,Belgian Strong Dark Ale,947,144
5215,Dark Ales,Scottish Ale,390,62
5216,Strong Ales,Scotch Ale / Wee Heavy,947,74
5217,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
5218,Pilseners and Pale Lagers,German Pilsener,1228,200
5219,Pale Ales,Saison / Farmhouse Ale,2120,249
5220,Stouts,English Stout,786,29
5221,Specialty Beers,Fruit / Vegetable Beer,684,242
5222,Dark Lagers,Munich Dunkel Lager,476,81
5223,Strong Ales,Quadrupel (Quad),947,51
5224,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5225,Dark Ales,American Black Ale,390,70
5226,Strong Ales,Belgian Strong Pale Ale,947,147
5227,Pale Ales,Belgian Pale Ale,2120,167
5228,Wild/Sour Beers,American Wild Ale,202,104
5229,Strong Ales,American Strong Ale,947,115
5230,Porters,American Porter,448,305
5231,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5232,India Pale Ales,American IPA,914,475
5233,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
5234,India Pale Ales,American IPA,914,475
5235,Specialty Beers,Herbed / Spiced Beer,684,95
5236,Pale Ales,Kölsch,2120,89
5237,Strong Ales,American Strong Ale,947,115
5238,Stouts,Foreign / Export Stout,786,41
5239,Pilseners and Pale Lagers,Light Lager,1228,108
5240,Brown Ales,American Brown Ale,416,158
5241,Stouts,American Stout,786,120
5242,Hybrid Beers,Braggot,133,14
5243,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
5244,Strong Ales,Belgian Strong Pale Ale,947,147
5245,Wheat Beers,American Dark Wheat Ale,685,23
5246,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
5247,India Pale Ales,American IPA,914,475
5248,India Pale Ales,American Double / Imperial IPA,914,297
5249,Stouts,Russian Imperial Stout,786,192
5250,Strong Ales,Belgian Strong Dark Ale,947,144
5251,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5252,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
5253,Hybrid Beers,Bière de Garde,133,54
5254,Wheat Beers,Hefeweizen,685,206
5255,Dark Lagers,Märzen / Oktoberfest,476,149
5256,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
5257,Dark Lagers,Munich Dunkel Lager,476,81
5258,Bocks,Doppelbock,339,126
5259,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
5260,Pale Ales,American Pale Ale (APA),2120,543
5261,Wheat Beers,Witbier,685,207
5262,Bocks,Weizenbock,339,53
5263,Dark Ales,Scottish Ale,390,62
5264,Pilseners and Pale Lagers,American Pale Lager,1228,108
5265,Pilseners and Pale Lagers,German Pilsener,1228,200
5266,Dark Ales,Scottish Ale,390,62
5267,Pale Ales,English Pale Ale,2120,185
5268,Pale Ales,English Pale Ale,2120,185
5269,Dark Ales,Scottish Ale,390,62
5270,Pale Ales,American Amber / Red Ale,2120,395
5271,Porters,American Porter,448,305
5272,Porters,American Porter,448,305
5273,Pale Ales,American Pale Ale (APA),2120,543
5274,India Pale Ales,American IPA,914,475
5275,Pale Ales,American Pale Ale (APA),2120,543
5276,India Pale Ales,American IPA,914,475
5277,Porters,American Porter,448,305
5278,Pilseners and Pale Lagers,Czech Pilsener,1228,114
5279,India Pale Ales,American Double / Imperial IPA,914,297
5280,Stouts,Milk / Sweet Stout,786,52
5281,Stouts,Milk / Sweet Stout,786,52
5282,India Pale Ales,American IPA,914,475
5283,Pale Ales,American Pale Ale (APA),2120,543
5284,Pale Ales,Belgian Pale Ale,2120,167
5285,Dark Lagers,Märzen / Oktoberfest,476,149
5286,Dark Lagers,Rauchbier,476,24
5287,Wheat Beers,Hefeweizen,685,206
5288,Brown Ales,American Brown Ale,416,158
5289,Wild/Sour Beers,Flanders Oud Bruin,202,24
5290,Stouts,American Double / Imperial Stout,786,207
5291,Brown Ales,American Brown Ale,416,158
5292,Brown Ales,American Brown Ale,416,158
5293,Brown Ales,American Brown Ale,416,158
5294,Brown Ales,American Brown Ale,416,158
5295,Brown Ales,American Brown Ale,416,158
5296,Brown Ales,American Brown Ale,416,158
5297,India Pale Ales,American IPA,914,475
5298,Dark Lagers,Märzen / Oktoberfest,476,149
5299,Pilseners and Pale Lagers,German Pilsener,1228,200
5300,Pale Ales,Saison / Farmhouse Ale,2120,249
5301,India Pale Ales,American IPA,914,475
5302,Pilseners and Pale Lagers,American Malt Liquor,1228,44
5303,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
5304,Dark Lagers,Schwarzbier,476,60
5305,India Pale Ales,American Double / Imperial IPA,914,297
5306,Pilseners and Pale Lagers,German Pilsener,1228,200
5307,Bocks,Maibock / Helles Bock,339,62
5308,Bocks,Bock,339,84
5309,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
5310,Pilseners and Pale Lagers,Light Lager,1228,108
5311,Pilseners and Pale Lagers,German Pilsener,1228,200
5312,Wheat Beers,Hefeweizen,685,206
5313,Pilseners and Pale Lagers,Keller Bier / Zwickel Bier,1228,27
5314,Wheat Beers,Hefeweizen,685,206
5315,Bocks,Maibock / Helles Bock,339,62
5316,Bocks,Maibock / Helles Bock,339,62
5317,India Pale Ales,American IPA,914,475
5318,Specialty Beers,Fruit / Vegetable Beer,684,242
5319,Dark Lagers,Märzen / Oktoberfest,476,149
5320,Dark Lagers,Munich Dunkel Lager,476,81
5321,Brown Ales,English Brown Ale,416,146
5322,Wheat Beers,Kristalweizen,685,18
5323,Wheat Beers,Hefeweizen,685,206
5324,Wheat Beers,American Pale Wheat Ale,685,162
